location_id,osm_element,osm_id,name,name_en,name_ar,display_name,map_name,category,amenity,healthcare,emergency,address,latitude,longitude,source,is_medical,is_emergency,is_candidate_hub,name_norm,lat_round5,lon_round5,possible_duplicate,osm_completeness_score,dist_Haram_Makkah_km,dist_Mina_km,dist_Muzdalifah_km,dist_Arafat_km,hajj_zone,flag_possible_duplicate,flag_low_completeness,flag_other_healthcare,flag_seasonal_mismatch,flag_unnamed,needs_manual_review,hub_id,candidate_hub,operational_feasibility,drone_regulatory_approval,landing_takeoff_space,charging_capability,medical_inventory_capability,facility_type_prior,hajj_zone_relevance,osm_completeness_0_1,preliminary_suitability_score,demand_cells_within_5km,uniform_weight_covered_5km,proxy_weight_covered_5km,proxy_coverage_share_5km
OSM_NODE_2706849553,node,2706849553,المستشفى الأهلي السعودي,Saudi National Hospital,المستشفى الأهلي السعودي,Saudi National Hospital,Saudi National Hospital,hospital,hospital,hospital,,"شارع العزيزية, مكة, 24243",21.409918499999993,39.86871850000001,OpenStreetMap,True,True,True,saudi national hospital,21.40992,39.86872,False,100,4.824956009107641,2.5379698221103184,5.474581409263942,13.210408944268297,Mina,False,False,False,False,False,False,HUB_001,True,unknown,unknown,unknown,unknown,unknown,0.85,1.0,1.0,92.5,224,224.0,330.47035830618864,0.48047495103109344
OSM_NODE_2708673853,node,2708673853,مستوصف قضيب البان,,مستوصف قضيب البان,مستوصف قضيب البان,مستوصف قضيب البان,hospital,hospital,hospital,no,,21.400606099999997,39.7842685,OpenStreetMap,True,True,True,مستوصف قضيب البان,21.40061,39.78427,False,80,4.973936796798512,11.337335187805639,13.658845280202128,21.11241278815892,Greater_Makkah,False,False,False,False,False,False,HUB_002,True,unknown,unknown,unknown,unknown,unknown,0.85,0.5,0.8,73.5,86,86.0,112.75960912052113,0.16394259366605662
OSM_NODE_4406669093,node,4406669093,مستشفى السلام,Salam Hospital,مستشفى السلام,Salam Hospital,Salam Hospital,hospital,hospital,,,,21.4490959,39.86319240000001,OpenStreetMap,True,True,True,salam hospital,21.4491,39.86319,False,80,4.811276295250347,4.814272928697958,8.788671158158545,16.10284456486429,Greater_Makkah,False,False,False,False,False,False,HUB_003,True,unknown,unknown,unknown,unknown,unknown,0.85,0.5,0.8,73.5,142,142.0,200.18371335504878,0.29104958267504716
OSM_NODE_4406715691,node,4406715691,مركز صحي العدل,,مركز صحي العدل,مركز صحي العدل,مركز صحي العدل,hospital,hospital,,,,21.4483515,39.8647505,OpenStreetMap,True,True,True,مركز صحي العدل,21.44835,39.86475,False,80,4.90064136009238,4.649037917681555,8.624957022022704,15.926255705473286,Greater_Makkah,False,False,False,False,False,False,HUB_004,True,unknown,unknown,unknown,unknown,unknown,0.85,0.5,0.8,73.5,145,145.0,206.00065146579794,0.29950690111122463
OSM_NODE_4424840089,node,4424840089,مستشفى النور,al-Noor Hospital,مستشفى النور,al-Noor Hospital,al-Noor Hospital,hospital,hospital,,,,21.384873399999996,39.8605185,OpenStreetMap,True,True,True,alnoor hospital,21.38487,39.86052,False,80,5.740181947761949,4.730619554200085,5.665663361089088,13.02149209756775,Greater_Makkah,False,False,False,False,False,False,HUB_005,True,unknown,unknown,unknown,unknown,unknown,0.85,0.5,0.8,73.5,140,140.0,198.13941368078162,0.2880773500339086
OSM_NODE_4534829779,node,4534829779,Armed Forces Hospital,Armed Forces Hospital,,Armed Forces Hospital,Armed Forces Hospital,hospital,hospital,hospital,,,21.399227,39.8992415,OpenStreetMap,True,True,True,armed forces hospital,21.39923,39.89924,False,80,8.202732122206209,1.916942647038924,2.1797623938429194,9.862361282096758,Mina,False,False,False,False,False,False,HUB_006,True,unknown,unknown,unknown,unknown,unknown,0.85,1.0,0.8,88.5,202,202.0,276.40000000000003,0.4018613867388035
OSM_NODE_4534849994,node,4534849994,مستشفى نمرة,,مستشفى نمرة,مستشفى نمرة,مستشفى نمرة,hospital,hospital,hospital,,,21.3527385,39.9732195,OpenStreetMap,True,True,True,مستشفى نمرة,21.35274,39.97322,False,80,17.312285061179043,10.86556731611787,7.077684629909334,0.9748455112112555,Arafat,False,False,False,False,False,False,HUB_007,True,unknown,unknown,unknown,unknown,unknown,0.85,1.0,0.8,88.5,159,159.0,164.28729641693812,0.2388593370538336
OSM_NODE_4538598490,node,4538598490,Hospital Alawi Tunsie,,,Hospital Alawi Tunsie,Hospital Alawi Tunsie,hospital,hospital,hospital,,,21.4005275,39.86479520000001,OpenStreetMap,True,True,True,hospital alawi tunsie,21.40053,39.8648,False,80,4.9193553387296625,3.308197459881786,5.450592455250476,13.146033348783927,Greater_Makkah,False,False,False,False,False,False,HUB_008,True,unknown,unknown,unknown,unknown,unknown,0.85,0.5,0.8,73.5,203,203.0,304.2664495114004,0.44237676316477387
OSM_NODE_4538607235,node,4538607235,مركز صحي العزيزية الشرقية,Health center Azizia East,مركز صحي العزيزية الشرقية,Health center Azizia East,Health center Azizia East,hospital,hospital,,,,21.403849299999997,39.8802291,OpenStreetMap,True,True,True,health center azizia east,21.40385,39.88023,False,80,6.178801653179015,1.8004005023389893,4.105558878210293,11.842363986120434,Mina,False,False,False,False,False,False,HUB_009,True,unknown,unknown,unknown,unknown,unknown,0.85,1.0,0.8,88.5,216,216.0,297.7016286644951,0.43283208874643386
OSM_NODE_4547232393,node,4547232393,,Muhammad sales Basharahil hospital (648 patient ),,Muhammad sales Basharahil hospital (648 patient ),Muhammad sales Basharahil hospital (648 patient ),hospital,hospital,,,"Al madinah al munawarah, 21955",21.561427299999995,39.7746446,OpenStreetMap,True,True,True,muhammad sales basharahil hospital 648 patient,21.56143,39.77464,False,100,16.01834822540008,20.260981778077475,24.23789031715538,31.332186564218098,Greater_Makkah,False,False,False,False,False,False,HUB_010,True,unknown,unknown,unknown,unknown,unknown,0.85,0.5,1.0,77.49999999999999,0,0.0,0.0,0.0
OSM_NODE_4646305989,node,4646305989,مجمع الرائد المكي المتخصص في طب الاسنان,,مجمع الرائد المكي المتخصص في طب الاسنان,مجمع الرائد المكي المتخصص في طب الاسنان,مجمع الرائد المكي المتخصص في طب الاسنان,hospital,hospital,,,,21.4681906,39.9438084,OpenStreetMap,True,True,True,مجمع الرائد المكي المتخصص في طب الاسنان,21.46819,39.94381,False,80,13.237647063095576,7.90374157413844,9.534009853390659,13.088762054355634,Greater_Makkah,False,False,False,False,False,False,HUB_011,True,unknown,unknown,unknown,unknown,unknown,0.85,0.5,0.8,73.5,0,0.0,0.0,0.0
OSM_NODE_4853503310,node,4853503310,Mina Al-Jisr Hospital,Mina Al-Jisr Hospital,,Mina Al-Jisr Hospital,Mina Al-Jisr Hospital,hospital,hospital,hospital,,,21.4051802,39.8884633,OpenStreetMap,True,True,True,mina aljisr hospital,21.40518,39.88846,False,80,6.931533951931855,1.2017303803373398,3.4637053003779377,11.15922692911453,Mina,False,False,False,False,False,False,HUB_012,True,unknown,unknown,unknown,unknown,unknown,0.85,1.0,0.8,88.5,213,213.0,292.63778501628667,0.42546970368602316
OSM_NODE_4853590821,node,4853590821,,,,Unnamed OSM feature,Unnamed OSM feature,hospital,hospital,,,,21.4545574,39.8393304,OpenStreetMap,True,True,True,unnamed osm feature,21.45456,39.83933,False,60,3.6429440827827033,7.014142274198296,10.897457410113931,18.41994817457635,Haram_Makkah,False,False,False,False,True,True,HUB_013,True,unknown,unknown,unknown,unknown,unknown,0.85,1.0,0.6,84.5,138,138.0,184.07687296416933,0.26763164774212606
OSM_NODE_5070401203,node,5070401203,مستوصف العبير,,مستوصف العبير,مستوصف العبير,مستوصف العبير,hospital,hospital,,,,21.4163884,39.8628741,OpenStreetMap,True,True,True,مستوصف العبير,21.41639,39.86287,False,80,4.041325280556944,3.0734173780410616,6.357543124232108,14.08051690053313,Greater_Makkah,False,False,False,False,False,False,HUB_014,True,unknown,unknown,unknown,unknown,unknown,0.85,0.5,0.8,73.5,223,223.0,331.27622149837117,0.48164660551710003
