location_id,osm_element,osm_id,name,name_en,name_ar,display_name,map_name,category,amenity,healthcare,emergency,address,latitude,longitude,source,is_medical,is_emergency,is_candidate_hub,name_norm,lat_round5,lon_round5,possible_duplicate,osm_completeness_score
OSM_NODE_2504820208,node,2504820208,دان,Dan,دان,Dan,Dan,pharmacy,pharmacy,,,,21.361205799999997,39.8353027,OpenStreetMap,True,False,False,dan,21.36121,39.8353,False,80
OSM_NODE_2504821098,node,2504821098,دان,Dan,دان,Dan,Dan,pharmacy,pharmacy,,,,21.369241,39.83781,OpenStreetMap,True,False,False,dan,21.36924,39.83781,False,80
OSM_NODE_2706849553,node,2706849553,المستشفى الأهلي السعودي,Saudi National Hospital,المستشفى الأهلي السعودي,Saudi National Hospital,Saudi National Hospital,hospital,hospital,hospital,,"شارع العزيزية, مكة, 24243",21.409918499999993,39.86871850000001,OpenStreetMap,True,True,True,saudi national hospital,21.40992,39.86872,False,100
OSM_NODE_2708673853,node,2708673853,مستوصف قضيب البان,,مستوصف قضيب البان,مستوصف قضيب البان,مستوصف قضيب البان,hospital,hospital,hospital,no,,21.400606099999997,39.7842685,OpenStreetMap,True,True,True,مستوصف قضيب البان,21.40061,39.78427,False,80
OSM_NODE_4340644089,node,4340644089,مستوصف هاله بن لادن,,مستوصف هاله بن لادن,مستوصف هاله بن لادن,مستوصف هاله بن لادن,clinic,clinic,,,,21.423750299999995,39.7867296,OpenStreetMap,True,False,False,مستوصف هاله بن لادن,21.42375,39.78673,False,80
OSM_NODE_4406669093,node,4406669093,مستشفى السلام,Salam Hospital,مستشفى السلام,Salam Hospital,Salam Hospital,hospital,hospital,,,,21.4490959,39.86319240000001,OpenStreetMap,True,True,True,salam hospital,21.4491,39.86319,False,80
OSM_NODE_4406715691,node,4406715691,مركز صحي العدل,,مركز صحي العدل,مركز صحي العدل,مركز صحي العدل,hospital,hospital,,,,21.4483515,39.8647505,OpenStreetMap,True,True,True,مركز صحي العدل,21.44835,39.86475,False,80
OSM_NODE_4424840089,node,4424840089,مستشفى النور,al-Noor Hospital,مستشفى النور,al-Noor Hospital,al-Noor Hospital,hospital,hospital,,,,21.384873399999996,39.8605185,OpenStreetMap,True,True,True,alnoor hospital,21.38487,39.86052,False,80
OSM_NODE_4432076296,node,4432076296,الهلال الأحمر السعودي,,الهلال الأحمر السعودي,الهلال الأحمر السعودي,الهلال الأحمر السعودي,clinic,clinic,clinic,,Al Malik Mansour Bin Abdulaziz Street,21.418439300000003,39.806575,OpenStreetMap,True,False,False,الهلال الأحمر السعودي,21.41844,39.80658,False,100
OSM_NODE_4534829779,node,4534829779,Armed Forces Hospital,Armed Forces Hospital,,Armed Forces Hospital,Armed Forces Hospital,hospital,hospital,hospital,,,21.399227,39.8992415,OpenStreetMap,True,True,True,armed forces hospital,21.39923,39.89924,False,80
OSM_NODE_4534849994,node,4534849994,مستشفى نمرة,,مستشفى نمرة,مستشفى نمرة,مستشفى نمرة,hospital,hospital,hospital,,,21.3527385,39.9732195,OpenStreetMap,True,True,True,مستشفى نمرة,21.35274,39.97322,False,80
OSM_NODE_4534902761,node,4534902761,الهلال الأحمر,,الهلال الأحمر,الهلال الأحمر,الهلال الأحمر,doctors,doctors,doctor,,,21.416331799999995,39.8769841,OpenStreetMap,True,False,False,الهلال الأحمر,21.41633,39.87698,False,80
OSM_NODE_4538598490,node,4538598490,Hospital Alawi Tunsie,,,Hospital Alawi Tunsie,Hospital Alawi Tunsie,hospital,hospital,hospital,,,21.4005275,39.86479520000001,OpenStreetMap,True,True,True,hospital alawi tunsie,21.40053,39.8648,False,80
OSM_NODE_4538607235,node,4538607235,مركز صحي العزيزية الشرقية,Health center Azizia East,مركز صحي العزيزية الشرقية,Health center Azizia East,Health center Azizia East,hospital,hospital,,,,21.403849299999997,39.8802291,OpenStreetMap,True,True,True,health center azizia east,21.40385,39.88023,False,80
OSM_NODE_4547232393,node,4547232393,,Muhammad sales Basharahil hospital (648 patient ),,Muhammad sales Basharahil hospital (648 patient ),Muhammad sales Basharahil hospital (648 patient ),hospital,hospital,,,"Al madinah al munawarah, 21955",21.561427299999995,39.7746446,OpenStreetMap,True,True,True,muhammad sales basharahil hospital 648 patient,21.56143,39.77464,False,100
OSM_NODE_4564310336,node,4564310336,Ibn Sina Medical Clinic,Ibn Sina Medical Clinic,,Ibn Sina Medical Clinic,Ibn Sina Medical Clinic,clinic,clinic,,,,21.401131399999993,39.8796521,OpenStreetMap,True,False,False,ibn sina medical clinic,21.40113,39.87965,False,80
OSM_NODE_4646305989,node,4646305989,مجمع الرائد المكي المتخصص في طب الاسنان,,مجمع الرائد المكي المتخصص في طب الاسنان,مجمع الرائد المكي المتخصص في طب الاسنان,مجمع الرائد المكي المتخصص في طب الاسنان,hospital,hospital,,,,21.4681906,39.9438084,OpenStreetMap,True,True,True,مجمع الرائد المكي المتخصص في طب الاسنان,21.46819,39.94381,False,80
OSM_NODE_4713565989,node,4713565989,,,,Unnamed OSM feature,Unnamed OSM feature,pharmacy,pharmacy,,,,21.4484465,39.821548,OpenStreetMap,True,False,False,unnamed osm feature,21.44845,39.82155,False,60
OSM_NODE_4853503310,node,4853503310,Mina Al-Jisr Hospital,Mina Al-Jisr Hospital,,Mina Al-Jisr Hospital,Mina Al-Jisr Hospital,hospital,hospital,hospital,,,21.4051802,39.8884633,OpenStreetMap,True,True,True,mina aljisr hospital,21.40518,39.88846,False,80
OSM_NODE_4853590821,node,4853590821,,,,Unnamed OSM feature,Unnamed OSM feature,hospital,hospital,,,,21.4545574,39.8393304,OpenStreetMap,True,True,True,unnamed osm feature,21.45456,39.83933,False,60
OSM_NODE_4872721840,node,4872721840,النهدي,Nahdi Pharmacy,النهدي,Nahdi Pharmacy,Nahdi Pharmacy,pharmacy,pharmacy,,,,21.401158,39.87811750000001,OpenStreetMap,True,False,False,nahdi pharmacy,21.40116,39.87812,False,80
OSM_NODE_5025564721,node,5025564721,مركز الحجامة الحديث مكة,,مركز الحجامة الحديث مكة,مركز الحجامة الحديث مكة,مركز الحجامة الحديث مكة,doctors,doctors,,,,21.438481399999997,39.7894217,OpenStreetMap,True,False,False,مركز الحجامة الحديث مكة,21.43848,39.78942,False,80
OSM_NODE_5041596125,node,5041596125,دار الحجامة مكة,,دار الحجامة مكة,دار الحجامة مكة,دار الحجامة مكة,clinic,clinic,,,,21.3590454,39.8743443,OpenStreetMap,True,False,False,دار الحجامة مكة,21.35905,39.87434,False,80
OSM_NODE_5070328470,node,5070328470,مركز صحي منى 5,Health Center 5,مركز صحي منى 5,Health Center 5,Health Center 5,doctors,doctors,,,,21.3979401,39.9016422,OpenStreetMap,True,False,False,health center 5,21.39794,39.90164,False,80
OSM_NODE_5070329988,node,5070329988,مركز صحي منى 13,Health Center 13,مركز صحي منى 13,Health Center 13,Health Center 13,doctors,doctors,,,,21.3955592,39.9012271,OpenStreetMap,True,False,False,health center 13,21.39556,39.90123,False,80
OSM_NODE_5070331988,node,5070331988,مركز صحي منى 18,Health Center 18,مركز صحي منى 18,Health Center 18,Health Center 18,doctors,doctors,,,,21.397547899999996,39.9047559,OpenStreetMap,True,False,False,health center 18,21.39755,39.90476,False,80
OSM_NODE_5070367192,node,5070367192,مركز صحي منى 16,Red Crescent Ambulance Station 16,مركز صحي منى 16,Red Crescent Ambulance Station 16,Red Crescent Ambulance Station 16,doctors,doctors,doctor,,,21.4173287,39.8823066,OpenStreetMap,True,False,False,red crescent ambulance station 16,21.41733,39.88231,False,80
OSM_NODE_5070379553,node,5070379553,النهدي,Al Nahdi,النهدي,Al Nahdi,Al Nahdi,pharmacy,pharmacy,,,,21.422437799999997,39.8739489,OpenStreetMap,True,False,False,al nahdi,21.42244,39.87395,False,80
