packages_per_hour,safe_roundtrip_km,response_target_min,turnaround_min,redundancy,minimum_hubs,minimum_drones,mean_response_min,max_response_min,mean_oneway_distance_km,max_oneway_distance_km,termination,solve_time_s,selected_hubs,drone_allocation,scenario_id,scenario_family
15,20.0,5.0,30.0,2,8,13,2.1226720562649053,3.7827901335425005,1.0104048506384147,2.5045111201882504,optimal,8.525013699996634,HUB_014;HUB_015;HUB_036;HUB_040;HUB_042;HUB_043;HUB_046;HUB_049,HUB_014:2;HUB_015:1;HUB_036:1;HUB_040:3;HUB_042:3;HUB_043:1;HUB_046:1;HUB_049:1,S01,demand
30,20.0,5.0,30.0,2,10,21,2.081826673989757,4.858365072762556,0.9736440065907814,3.472528565486301,optimal,9.983142799988855,HUB_006;HUB_014;HUB_015;HUB_035;HUB_040;HUB_041;HUB_042;HUB_043;HUB_046;HUB_049,HUB_006:3;HUB_014:2;HUB_015:3;HUB_035:1;HUB_040:3;HUB_041:3;HUB_042:3;HUB_043:1;HUB_046:1;HUB_049:1,S02,demand
45,20.0,5.0,30.0,2,11,29,2.470197696130071,4.83130066051902,1.323177926517064,3.448170594467118,optimal,9.0853290999803,HUB_006;HUB_014;HUB_015;HUB_031;HUB_036;HUB_040;HUB_041;HUB_042;HUB_043;HUB_049;HUB_058,HUB_006:3;HUB_014:3;HUB_015:3;HUB_031:1;HUB_036:1;HUB_040:3;HUB_041:3;HUB_042:3;HUB_043:3;HUB_049:3;HUB_058:3,S03,demand
30,10.0,5.0,30.0,2,10,21,2.081826673989757,4.858365072762556,0.9736440065907814,3.472528565486301,optimal,9.62807160000375,HUB_006;HUB_014;HUB_015;HUB_035;HUB_040;HUB_041;HUB_042;HUB_043;HUB_046;HUB_049,HUB_006:3;HUB_014:2;HUB_015:3;HUB_035:1;HUB_040:3;HUB_041:3;HUB_042:3;HUB_043:1;HUB_046:1;HUB_049:1,S04,battery
30,15.0,5.0,30.0,2,10,21,2.081826673989757,4.858365072762556,0.9736440065907814,3.472528565486301,optimal,11.364290700017591,HUB_006;HUB_014;HUB_015;HUB_035;HUB_040;HUB_041;HUB_042;HUB_043;HUB_046;HUB_049,HUB_006:3;HUB_014:2;HUB_015:3;HUB_035:1;HUB_040:3;HUB_041:3;HUB_042:3;HUB_043:1;HUB_046:1;HUB_049:1,S05,battery
30,20.0,7.0,30.0,2,8,20,2.0320694042358256,6.571023990752002,0.928862463812243,5.013921591676802,optimal,9.304204400003073,HUB_007;HUB_016;HUB_040;HUB_041;HUB_042;HUB_047;HUB_056;HUB_058,HUB_007:1;HUB_016:3;HUB_040:3;HUB_041:3;HUB_042:3;HUB_047:1;HUB_056:3;HUB_058:3,S06,response
30,20.0,10.0,30.0,2,7,19,2.493304479930316,7.224773357625605,1.3439740319372846,5.602296021863045,optimal,11.944862400006969,HUB_016;HUB_040;HUB_041;HUB_042;HUB_045;HUB_047;HUB_056,HUB_016:3;HUB_040:3;HUB_041:3;HUB_042:3;HUB_045:3;HUB_047:1;HUB_056:3,S07,response
30,20.0,5.0,15.0,2,8,12,2.1620514817935015,4.858365072762556,1.0458463336141517,3.472528565486301,optimal,8.14680899999803,HUB_014;HUB_015;HUB_035;HUB_036;HUB_040;HUB_042;HUB_043;HUB_049,HUB_014:1;HUB_015:1;HUB_035:1;HUB_036:1;HUB_040:3;HUB_042:3;HUB_043:1;HUB_049:1,S08,turnaround
30,20.0,5.0,45.0,2,12,32,2.5871611976606395,4.94933317173044,1.4284450778945754,3.554399854557396,optimal,7.281135700002778,HUB_006;HUB_012;HUB_014;HUB_015;HUB_036;HUB_039;HUB_040;HUB_041;HUB_042;HUB_043;HUB_049;HUB_058,HUB_006:3;HUB_012:3;HUB_014:3;HUB_015:3;HUB_036:1;HUB_039:1;HUB_040:3;HUB_041:3;HUB_042:3;HUB_043:3;HUB_049:3;HUB_058:3,S09,turnaround
30,20.0,5.0,30.0,1,7,19,1.837397700234947,3.0289292802718086,0.7536579302114528,1.826036352244628,optimal,13.39742949999345,HUB_006;HUB_014;HUB_016;HUB_040;HUB_041;HUB_042;HUB_056,HUB_006:3;HUB_014:2;HUB_016:3;HUB_040:3;HUB_041:3;HUB_042:3;HUB_056:2,S10,redundancy
