p,termination,solve_time_s,packages_per_hour,safe_roundtrip_km,response_target_min,turnaround_min,redundancy,minimum_drones,mean_response_min,max_response_min,mean_oneway_distance_km,max_oneway_distance_km,selected_hubs,drone_allocation
5,infeasible,3.7270339999959106,,,,,,,,,,,,
6,infeasible,10.548367399998824,,,,,,,,,,,,
7,optimal,13.057498499998474,30.0,20.0,5.0,30.0,1.0,19.0,1.837397700234947,3.0289292802718086,0.7536579302114528,1.826036352244628,HUB_006;HUB_014;HUB_016;HUB_040;HUB_041;HUB_042;HUB_056,HUB_006:3;HUB_014:2;HUB_016:3;HUB_040:3;HUB_041:3;HUB_042:3;HUB_056:2
8,optimal,8.745017900000676,30.0,20.0,5.0,30.0,1.0,19.0,1.7808478251576367,3.172634316246238,0.7027630426418732,1.9553708846216145,HUB_006;HUB_014;HUB_016;HUB_040;HUB_041;HUB_042;HUB_056;HUB_058,HUB_006:2;HUB_014:1;HUB_016:3;HUB_040:3;HUB_041:3;HUB_042:3;HUB_056:2;HUB_058:2
9,optimal,9.782417299997178,30.0,20.0,5.0,30.0,1.0,20.0,1.769958358377099,3.172634316246238,0.6929625225393894,1.9553708846216145,HUB_006;HUB_014;HUB_016;HUB_040;HUB_041;HUB_042;HUB_054;HUB_056;HUB_058,HUB_006:2;HUB_014:1;HUB_016:3;HUB_040:3;HUB_041:3;HUB_042:3;HUB_054:1;HUB_056:2;HUB_058:2
10,optimal,11.540823500006809,30.0,20.0,5.0,30.0,1.0,20.0,1.778545571885069,3.172634316246238,0.7006910146965624,1.9553708846216145,HUB_006;HUB_012;HUB_014;HUB_016;HUB_040;HUB_041;HUB_042;HUB_054;HUB_056;HUB_058,HUB_006:2;HUB_012:1;HUB_014:1;HUB_016:3;HUB_040:3;HUB_041:3;HUB_042:3;HUB_054:1;HUB_056:2;HUB_058:1
11,optimal,6.6152297999942675,30.0,20.0,5.0,30.0,1.0,21.0,1.7698343822070612,3.172634316246238,0.6928509439863554,1.9553708846216145,HUB_006;HUB_012;HUB_014;HUB_015;HUB_016;HUB_040;HUB_041;HUB_042;HUB_054;HUB_056;HUB_058,HUB_006:2;HUB_012:1;HUB_014:1;HUB_015:1;HUB_016:3;HUB_040:3;HUB_041:3;HUB_042:3;HUB_054:1;HUB_056:2;HUB_058:1
12,optimal,12.711768199995277,30.0,20.0,5.0,30.0,1.0,21.0,1.7986988453816115,3.172634316246238,0.7188289608434505,1.9553708846216145,HUB_006;HUB_012;HUB_014;HUB_015;HUB_016;HUB_040;HUB_041;HUB_042;HUB_043;HUB_054;HUB_056;HUB_058,HUB_006:2;HUB_012:1;HUB_014:1;HUB_015:1;HUB_016:3;HUB_040:3;HUB_041:3;HUB_042:3;HUB_043:1;HUB_054:1;HUB_056:1;HUB_058:1
5,infeasible,4.334708199996385,,,,,,,,,,,,
6,infeasible,4.679531000001589,,,,,,,,,,,,
7,infeasible,4.278598400007468,,,,,,,,,,,,
8,infeasible,5.008313500002259,,,,,,,,,,,,
9,infeasible,4.285032100000535,,,,,,,,,,,,
10,optimal,8.553366600011941,30.0,20.0,5.0,30.0,2.0,21.0,2.081826673989757,4.858365072762556,0.9736440065907814,3.472528565486301,HUB_006;HUB_014;HUB_015;HUB_035;HUB_039;HUB_040;HUB_041;HUB_042;HUB_043;HUB_049,HUB_006:3;HUB_014:2;HUB_015:3;HUB_035:1;HUB_039:1;HUB_040:3;HUB_041:3;HUB_042:3;HUB_043:1;HUB_049:1
11,optimal,24.07617579998623,30.0,20.0,5.0,30.0,2.0,22.0,1.9346247890936796,4.858365072762556,0.8411623101843122,3.472528565486301,HUB_006;HUB_014;HUB_015;HUB_016;HUB_024;HUB_034;HUB_038;HUB_040;HUB_041;HUB_042;HUB_043,HUB_006:3;HUB_014:2;HUB_015:1;HUB_016:3;HUB_024:1;HUB_034:1;HUB_038:1;HUB_040:3;HUB_041:3;HUB_042:3;HUB_043:1
12,optimal,17.70025579999492,30.0,20.0,5.0,30.0,2.0,22.0,1.891186050432491,3.7827901335425005,0.8020674453892424,2.5045111201882504,HUB_006;HUB_014;HUB_015;HUB_016;HUB_031;HUB_039;HUB_040;HUB_041;HUB_042;HUB_043;HUB_049;HUB_058,HUB_006:2;HUB_014:1;HUB_015:1;HUB_016:3;HUB_031:1;HUB_039:1;HUB_040:3;HUB_041:3;HUB_042:3;HUB_043:1;HUB_049:1;HUB_058:2
