range_km,demand_point_id,hajj_zone,proxy_demand_weight
2.5,D_500_Haram_Makkah_0122,Haram_Makkah,1.0
2.5,D_500_Haram_Makkah_0137,Haram_Makkah,1.0
2.5,D_500_Haram_Makkah_0138,Haram_Makkah,1.0
2.5,D_500_Mina_0056,Mina,1.0026058631921824
2.5,D_500_Mina_0068,Mina,1.007817589576547
2.5,D_500_Mina_0079,Mina,1.0052117263843647
2.5,D_500_Mina_0080,Mina,1.0052117263843647
2.5,D_500_Mina_0090,Mina,1.0
2.5,D_500_Mina_0100,Mina,1.0
2.5,D_500_Arafat_0035,Arafat,1.0
2.5,D_500_Arafat_0036,Arafat,1.0104234527687297
2.5,D_500_Arafat_0048,Arafat,1.0
2.5,D_500_Arafat_0049,Arafat,1.0
2.5,D_500_Arafat_0050,Arafat,1.0
2.5,D_500_Arafat_0062,Arafat,1.0
2.5,D_500_Arafat_0063,Arafat,1.0
2.5,D_500_Arafat_0064,Arafat,1.0
2.5,D_500_Arafat_0076,Arafat,1.0416938110749183
2.5,D_500_Arafat_0077,Arafat,1.0
2.5,D_500_Arafat_0078,Arafat,1.0
2.5,D_500_Arafat_0090,Arafat,1.1302931596091206
2.5,D_500_Arafat_0091,Arafat,1.049511400651466
2.5,D_500_Arafat_0092,Arafat,1.0
2.5,D_500_Arafat_0104,Arafat,1.1224755700325733
2.5,D_500_Arafat_0105,Arafat,1.0677524429967429
2.5,D_500_Arafat_0106,Arafat,1.0104234527687297
2.5,D_500_Arafat_0118,Arafat,1.0
2.5,D_500_Arafat_0119,Arafat,1.0
2.5,D_500_Arafat_0120,Arafat,1.0
2.5,D_500_Arafat_0130,Arafat,1.0
2.5,D_500_Arafat_0131,Arafat,1.0
2.5,D_500_Arafat_0132,Arafat,1.0
2.5,D_500_Arafat_0140,Arafat,1.0
2.5,D_500_Arafat_0141,Arafat,1.0
2.5,D_500_Arafat_0142,Arafat,1.0
2.5,D_500_Arafat_0145,Arafat,1.0
2.5,D_500_Arafat_0146,Arafat,1.0
2.5,D_500_Arafat_0147,Arafat,1.0
2.5,D_500_Arafat_0148,Arafat,1.0
2.5,D_500_Arafat_0149,Arafat,1.0
2.5,D_500_Arafat_0150,Arafat,1.0
2.5,D_500_Arafat_0151,Arafat,1.0
2.5,D_500_Arafat_0152,Arafat,1.0
2.5,D_500_Arafat_0153,Arafat,1.0
2.5,D_500_Arafat_0154,Arafat,1.0
2.5,D_500_Arafat_0155,Arafat,1.0
2.5,D_500_Arafat_0156,Arafat,1.0
