model,demand_scenario,p,range_km,demand_point_id,hajj_zone,demand_weight_uniform,proxy_demand_weight,covered
MCLP,uniform,1,2.5,D_500_Haram_Makkah_0001,Haram_Makkah,1.0,1.1485342019543974,False
MCLP,uniform,1,2.5,D_500_Haram_Makkah_0002,Haram_Makkah,1.0,1.64885993485342,False
MCLP,uniform,1,2.5,D_500_Haram_Makkah_0003,Haram_Makkah,1.0,1.0938110749185668,False
MCLP,uniform,1,2.5,D_500_Haram_Makkah_0004,Haram_Makkah,1.0,1.4169381107491856,False
MCLP,uniform,1,2.5,D_500_Haram_Makkah_0005,Haram_Makkah,1.0,1.2710097719869706,False
MCLP,uniform,1,2.5,D_500_Haram_Makkah_0006,Haram_Makkah,1.0,1.1876221498371335,False
MCLP,uniform,1,2.5,D_500_Haram_Makkah_0007,Haram_Makkah,1.0,1.062540716612378,False
MCLP,uniform,1,2.5,D_500_Haram_Makkah_0008,Haram_Makkah,1.0,1.0234527687296415,False
MCLP,uniform,1,2.5,D_500_Haram_Makkah_0009,Haram_Makkah,1.0,1.0416938110749183,False
MCLP,uniform,1,2.5,D_500_Haram_Makkah_0010,Haram_Makkah,1.0,1.1824104234527688,False
MCLP,uniform,1,2.5,D_500_Haram_Makkah_0011,Haram_Makkah,1.0,1.2605863192182412,False
MCLP,uniform,1,2.5,D_500_Haram_Makkah_0012,Haram_Makkah,1.0,1.1485342019543974,False
MCLP,uniform,1,2.5,D_500_Haram_Makkah_0013,Haram_Makkah,1.0,1.0416938110749183,False
MCLP,uniform,1,2.5,D_500_Haram_Makkah_0014,Haram_Makkah,1.0,1.2605863192182412,False
MCLP,uniform,1,2.5,D_500_Haram_Makkah_0015,Haram_Makkah,1.0,1.4039087947882736,False
MCLP,uniform,1,2.5,D_500_Haram_Makkah_0016,Haram_Makkah,1.0,1.0,False
MCLP,uniform,1,2.5,D_500_Haram_Makkah_0017,Haram_Makkah,1.0,1.070358306188925,False
MCLP,uniform,1,2.5,D_500_Haram_Makkah_0018,Haram_Makkah,1.0,1.088599348534202,False
MCLP,uniform,1,2.5,D_500_Haram_Makkah_0019,Haram_Makkah,1.0,1.0599348534201951,False
MCLP,uniform,1,2.5,D_500_Haram_Makkah_0020,Haram_Makkah,1.0,1.0052117263843647,False
MCLP,uniform,1,2.5,D_500_Haram_Makkah_0021,Haram_Makkah,1.0,1.0,False
MCLP,uniform,1,2.5,D_500_Haram_Makkah_0022,Haram_Makkah,1.0,1.3439739413680782,False
MCLP,uniform,1,2.5,D_500_Haram_Makkah_0023,Haram_Makkah,1.0,1.0416938110749183,False
MCLP,uniform,1,2.5,D_500_Haram_Makkah_0024,Haram_Makkah,1.0,1.284039087947883,False
MCLP,uniform,1,2.5,D_500_Haram_Makkah_0025,Haram_Makkah,1.0,1.0807817589576547,False
MCLP,uniform,1,2.5,D_500_Haram_Makkah_0026,Haram_Makkah,1.0,1.3517915309446251,False
MCLP,uniform,1,2.5,D_500_Haram_Makkah_0027,Haram_Makkah,1.0,1.0651465798045603,False
MCLP,uniform,1,2.5,D_500_Haram_Makkah_0028,Haram_Makkah,1.0,1.062540716612378,False
MCLP,uniform,1,2.5,D_500_Haram_Makkah_0029,Haram_Makkah,1.0,1.083387622149837,False
MCLP,uniform,1,2.5,D_500_Haram_Makkah_0030,Haram_Makkah,1.0,1.062540716612378,False
MCLP,uniform,1,2.5,D_500_Haram_Makkah_0031,Haram_Makkah,1.0,1.1641693811074918,False
MCLP,uniform,1,2.5,D_500_Haram_Makkah_0032,Haram_Makkah,1.0,1.049511400651466,False
MCLP,uniform,1,2.5,D_500_Haram_Makkah_0033,Haram_Makkah,1.0,1.1146579804560262,False
MCLP,uniform,1,2.5,D_500_Haram_Makkah_0034,Haram_Makkah,1.0,1.0599348534201951,False
MCLP,uniform,1,2.5,D_500_Haram_Makkah_0035,Haram_Makkah,1.0,1.0938110749185668,False
MCLP,uniform,1,2.5,D_500_Haram_Makkah_0036,Haram_Makkah,1.0,1.0234527687296415,False
MCLP,uniform,1,2.5,D_500_Haram_Makkah_0037,Haram_Makkah,1.0,1.1068403908794788,False
MCLP,uniform,1,2.5,D_500_Haram_Makkah_0038,Haram_Makkah,1.0,1.234527687296417,False
