model,demand_scenario,p,range_km,hub_index,hub_id,hub_name,hub_category,hajj_zone,latitude,longitude
p-median,uniform,1,,57,HUB_058,National Guard Hospital,hospital,Mina,21.405893675544224,39.89207000859229
p-median,uniform,2,,6,HUB_007,مستشفى نمرة,hospital,Arafat,21.3527385,39.9732195
p-median,uniform,2,,13,HUB_014,مستوصف العبير,hospital,Greater_Makkah,21.4163884,39.8628741
p-median,uniform,3,,5,HUB_006,Armed Forces Hospital,hospital,Mina,21.399227,39.8992415
p-median,uniform,3,,14,HUB_015,Al Haram Emergency Hospital,hospital,Haram_Makkah,21.4267071,39.8232661
p-median,uniform,3,,38,HUB_039,Jabal Al-Rahmah Hospital,hospital,Arafat,21.352803837677783,39.98364361556893
p-median,uniform,3,5.0,5,HUB_006,Armed Forces Hospital,hospital,Mina,21.399227,39.8992415
p-median,uniform,3,5.0,14,HUB_015,Al Haram Emergency Hospital,hospital,Haram_Makkah,21.4267071,39.8232661
p-median,uniform,3,5.0,38,HUB_039,Jabal Al-Rahmah Hospital,hospital,Arafat,21.352803837677783,39.98364361556893
p-median,uniform,4,,14,HUB_015,Al Haram Emergency Hospital,hospital,Haram_Makkah,21.4267071,39.8232661
p-median,uniform,4,,38,HUB_039,Jabal Al-Rahmah Hospital,hospital,Arafat,21.352803837677783,39.98364361556893
p-median,uniform,4,,40,HUB_041,مركز هيئة الهلال الأحمر - منى,ambulance_station,Mina,21.41657955698829,39.88555948437864
p-median,uniform,4,,44,HUB_045,Hilal Ahmar,hospital,Muzdalifah,21.388754680165658,39.92286031123547
p-median,uniform,4,5.0,14,HUB_015,Al Haram Emergency Hospital,hospital,Haram_Makkah,21.4267071,39.8232661
p-median,uniform,4,5.0,38,HUB_039,Jabal Al-Rahmah Hospital,hospital,Arafat,21.352803837677783,39.98364361556893
p-median,uniform,4,5.0,40,HUB_041,مركز هيئة الهلال الأحمر - منى,ambulance_station,Mina,21.41657955698829,39.88555948437864
p-median,uniform,4,5.0,44,HUB_045,Hilal Ahmar,hospital,Muzdalifah,21.388754680165658,39.92286031123547
p-median,uniform,5,,17,HUB_018,Al Fahd Medical Complex,hospital,Haram_Makkah,21.4431374,39.8355345
p-median,uniform,5,,38,HUB_039,Jabal Al-Rahmah Hospital,hospital,Arafat,21.352803837677783,39.98364361556893
p-median,uniform,5,,40,HUB_041,مركز هيئة الهلال الأحمر - منى,ambulance_station,Mina,21.41657955698829,39.88555948437864
p-median,uniform,5,,42,HUB_043,Hospital Shifa,hospital,Haram_Makkah,21.415583055937315,39.80652632624844
p-median,uniform,5,,44,HUB_045,Hilal Ahmar,hospital,Muzdalifah,21.388754680165658,39.92286031123547
p-median,uniform,5,5.0,17,HUB_018,Al Fahd Medical Complex,hospital,Haram_Makkah,21.4431374,39.8355345
p-median,uniform,5,5.0,38,HUB_039,Jabal Al-Rahmah Hospital,hospital,Arafat,21.352803837677783,39.98364361556893
p-median,uniform,5,5.0,40,HUB_041,مركز هيئة الهلال الأحمر - منى,ambulance_station,Mina,21.41657955698829,39.88555948437864
p-median,uniform,5,5.0,42,HUB_043,Hospital Shifa,hospital,Haram_Makkah,21.415583055937315,39.80652632624844
p-median,uniform,5,5.0,44,HUB_045,Hilal Ahmar,hospital,Muzdalifah,21.388754680165658,39.92286031123547
p-median,uniform,6,,13,HUB_014,مستوصف العبير,hospital,Greater_Makkah,21.4163884,39.8628741
p-median,uniform,6,,17,HUB_018,Al Fahd Medical Complex,hospital,Haram_Makkah,21.4431374,39.8355345
p-median,uniform,6,,38,HUB_039,Jabal Al-Rahmah Hospital,hospital,Arafat,21.352803837677783,39.98364361556893
p-median,uniform,6,,41,HUB_042,Mina Al-Wadi Hospital,hospital,Mina,21.41317296672884,39.90176293642091
p-median,uniform,6,,42,HUB_043,Hospital Shifa,hospital,Haram_Makkah,21.415583055937315,39.80652632624844
p-median,uniform,6,,44,HUB_045,Hilal Ahmar,hospital,Muzdalifah,21.388754680165658,39.92286031123547
