location_id,osm_element,osm_id,name,name_en,name_ar,display_name,map_name,category,amenity,healthcare,emergency,address,latitude,longitude,source,is_medical,is_emergency,is_candidate_hub,name_norm,lat_round5,lon_round5,possible_duplicate,osm_completeness_score
OSM_NODE_2706849553,node,2706849553,المستشفى الأهلي السعودي,Saudi National Hospital,المستشفى الأهلي السعودي,Saudi National Hospital,Saudi National Hospital,hospital,hospital,hospital,,"شارع العزيزية, مكة, 24243",21.409918499999993,39.86871850000001,OpenStreetMap,True,True,True,saudi national hospital,21.40992,39.86872,False,100
OSM_NODE_2708673853,node,2708673853,مستوصف قضيب البان,,مستوصف قضيب البان,مستوصف قضيب البان,مستوصف قضيب البان,hospital,hospital,hospital,no,,21.400606099999997,39.7842685,OpenStreetMap,True,True,True,مستوصف قضيب البان,21.40061,39.78427,False,80
OSM_NODE_4406669093,node,4406669093,مستشفى السلام,Salam Hospital,مستشفى السلام,Salam Hospital,Salam Hospital,hospital,hospital,,,,21.4490959,39.86319240000001,OpenStreetMap,True,True,True,salam hospital,21.4491,39.86319,False,80
OSM_NODE_4406715691,node,4406715691,مركز صحي العدل,,مركز صحي العدل,مركز صحي العدل,مركز صحي العدل,hospital,hospital,,,,21.4483515,39.8647505,OpenStreetMap,True,True,True,مركز صحي العدل,21.44835,39.86475,False,80
OSM_NODE_4424840089,node,4424840089,مستشفى النور,al-Noor Hospital,مستشفى النور,al-Noor Hospital,al-Noor Hospital,hospital,hospital,,,,21.384873399999996,39.8605185,OpenStreetMap,True,True,True,alnoor hospital,21.38487,39.86052,False,80
OSM_NODE_4534829779,node,4534829779,Armed Forces Hospital,Armed Forces Hospital,,Armed Forces Hospital,Armed Forces Hospital,hospital,hospital,hospital,,,21.399227,39.8992415,OpenStreetMap,True,True,True,armed forces hospital,21.39923,39.89924,False,80
OSM_NODE_4534849994,node,4534849994,مستشفى نمرة,,مستشفى نمرة,مستشفى نمرة,مستشفى نمرة,hospital,hospital,hospital,,,21.3527385,39.9732195,OpenStreetMap,True,True,True,مستشفى نمرة,21.35274,39.97322,False,80
OSM_NODE_4538598490,node,4538598490,Hospital Alawi Tunsie,,,Hospital Alawi Tunsie,Hospital Alawi Tunsie,hospital,hospital,hospital,,,21.4005275,39.86479520000001,OpenStreetMap,True,True,True,hospital alawi tunsie,21.40053,39.8648,False,80
OSM_NODE_4538607235,node,4538607235,مركز صحي العزيزية الشرقية,Health center Azizia East,مركز صحي العزيزية الشرقية,Health center Azizia East,Health center Azizia East,hospital,hospital,,,,21.403849299999997,39.8802291,OpenStreetMap,True,True,True,health center azizia east,21.40385,39.88023,False,80
OSM_NODE_4547232393,node,4547232393,,Muhammad sales Basharahil hospital (648 patient ),,Muhammad sales Basharahil hospital (648 patient ),Muhammad sales Basharahil hospital (648 patient ),hospital,hospital,,,"Al madinah al munawarah, 21955",21.561427299999995,39.7746446,OpenStreetMap,True,True,True,muhammad sales basharahil hospital 648 patient,21.56143,39.77464,False,100
OSM_NODE_4646305989,node,4646305989,مجمع الرائد المكي المتخصص في طب الاسنان,,مجمع الرائد المكي المتخصص في طب الاسنان,مجمع الرائد المكي المتخصص في طب الاسنان,مجمع الرائد المكي المتخصص في طب الاسنان,hospital,hospital,,,,21.4681906,39.9438084,OpenStreetMap,True,True,True,مجمع الرائد المكي المتخصص في طب الاسنان,21.46819,39.94381,False,80
OSM_NODE_4853503310,node,4853503310,Mina Al-Jisr Hospital,Mina Al-Jisr Hospital,,Mina Al-Jisr Hospital,Mina Al-Jisr Hospital,hospital,hospital,hospital,,,21.4051802,39.8884633,OpenStreetMap,True,True,True,mina aljisr hospital,21.40518,39.88846,False,80
OSM_NODE_4853590821,node,4853590821,,,,Unnamed OSM feature,Unnamed OSM feature,hospital,hospital,,,,21.4545574,39.8393304,OpenStreetMap,True,True,True,unnamed osm feature,21.45456,39.83933,False,60
OSM_NODE_5070401203,node,5070401203,مستوصف العبير,,مستوصف العبير,مستوصف العبير,مستوصف العبير,hospital,hospital,,,,21.4163884,39.8628741,OpenStreetMap,True,True,True,مستوصف العبير,21.41639,39.86287,False,80
OSM_NODE_5075704816,node,5075704816,مستشفى الحرم للطوارئ,Al Haram Emergency Hospital,مستشفى الحرم للطوارئ,Al Haram Emergency Hospital,Al Haram Emergency Hospital,hospital,hospital,hospital,yes,,21.4267071,39.8232661,OpenStreetMap,True,True,True,al haram emergency hospital,21.42671,39.82327,False,80
OSM_NODE_5076188152,node,5076188152,مستشفى أجياد للطوارئ,Ajyad Emergency Hospital,مستشفى أجياد للطوارئ,Ajyad Emergency Hospital,Ajyad Emergency Hospital,hospital,hospital,,,,21.419720200000004,39.8263838,OpenStreetMap,True,True,True,ajyad emergency hospital,21.41972,39.82638,False,80
OSM_NODE_5076826198,node,5076826198,مستوصف قوى الامن,Security Forces Health Center,مستوصف قوى الامن,Security Forces Health Center,Security Forces Health Center,hospital,hospital,,,,21.394141199999996,39.8959064,OpenStreetMap,True,True,True,security forces health center,21.39414,39.89591,False,80
OSM_NODE_5077299107,node,5077299107,مجمع الفهد الطبي,Al Fahd Medical Complex,مجمع الفهد الطبي,Al Fahd Medical Complex,Al Fahd Medical Complex,hospital,hospital,,,,21.4431374,39.8355345,OpenStreetMap,True,True,True,al fahd medical complex,21.44314,39.83553,False,80
OSM_NODE_5134884137,node,5134884137,مستشفى حراء,Hera General Hospital,مستشفى حراء,Hera General Hospital,Hera General Hospital,hospital,hospital,,,,21.48647619999999,39.7892145,OpenStreetMap,True,True,True,hera general hospital,21.48648,39.78921,False,80
OSM_NODE_5828839701,node,5828839701,البعثة الطبية العراقية,Iraqi medical delegation,,Iraqi medical delegation,Iraqi medical delegation,hospital,hospital,,,,21.412398400000004,39.8618606,OpenStreetMap,True,True,True,iraqi medical delegation,21.4124,39.86186,False,80
OSM_NODE_6139791985,node,6139791985,مركز الملك عبد اللة لغسيل الكلي,,,مركز الملك عبد اللة لغسيل الكلي,مركز الملك عبد اللة لغسيل الكلي,hospital,hospital,,,,21.3889212,39.8079877,OpenStreetMap,True,True,True,مركز الملك عبد اللة لغسيل الكلي,21.38892,39.80799,False,80
OSM_NODE_6166310287,node,6166310287,مركز الملك عبد الله لغسيل الكلي الصناعي,King Abdullah dialysis Center,,King Abdullah dialysis Center,King Abdullah dialysis Center,hospital,hospital,,,,21.418281799999995,39.7752803,OpenStreetMap,True,True,True,king abdullah dialysis center,21.41828,39.77528,False,80
OSM_NODE_6795540585,node,6795540585,Pakistan Hajj Mission Hospital,,,Pakistan Hajj Mission Hospital,Pakistan Hajj Mission Hospital,hospital,hospital,,,,21.397025299999992,39.876904,OpenStreetMap,True,True,True,pakistan hajj mission hospital,21.39703,39.8769,False,80
OSM_NODE_8583386218,node,8583386218,مجمع مبارك الطبي المتخصص لطب الاسنان,,,مجمع مبارك الطبي المتخصص لطب الاسنان,مجمع مبارك الطبي المتخصص لطب الاسنان,hospital,hospital,hospital,,"1, Ar Ridwa Street, مكه, 24221",21.431867599999997,39.7921537,OpenStreetMap,True,True,True,مجمع مبارك الطبي المتخصص لطب الاسنان,21.43187,39.79215,False,100
OSM_NODE_11275483327,node,11275483327,مستشفى الملك2,,,مستشفى الملك2,مستشفى الملك2,hospital,hospital,hospital,,"King Abdullah Hospital Road, مكة",21.3826364,39.8814022,OpenStreetMap,True,True,True,مستشفى الملك2,21.38264,39.8814,False,100
OSM_NODE_11275483328,node,11275483328,مستشفى الملك1,,,مستشفى الملك1,مستشفى الملك1,hospital,hospital,hospital,,"King Abdullah Hospital Road, مكة",21.3829925,39.88210490000001,OpenStreetMap,True,True,True,مستشفى الملك1,21.38299,39.8821,False,100
OSM_NODE_11275483329,node,11275483329,مستشفى الملك3,,,مستشفى الملك3,مستشفى الملك3,hospital,hospital,hospital,,"King Abdullah Hospital Road, مكة",21.382329100000003,39.8807652,OpenStreetMap,True,True,True,مستشفى الملك3,21.38233,39.88077,False,100
OSM_NODE_11275483330,node,11275483330,مستشفى الملك4,,,مستشفى الملك4,مستشفى الملك4,hospital,hospital,hospital,,"King Abdullah Hospital Road, مكة",21.381935399999996,39.8814486,OpenStreetMap,True,True,True,مستشفى الملك4,21.38194,39.88145,False,100
OSM_NODE_11410017570,node,11410017570,,hospital turn 1,,hospital turn 1,hospital turn 1,hospital,hospital,,,,21.391287199999997,39.7627724,OpenStreetMap,True,True,True,hospital turn 1,21.39129,39.76277,False,80
OSM_NODE_11793367734,node,11793367734,مجمع الرواد الطبي العام,,,مجمع الرواد الطبي العام,مجمع الرواد الطبي العام,hospital,hospital,hospital,yes,"7310, طريق المدينة المنورة ,, مكة المكرمة, 24227",21.4505908,39.8082788,OpenStreetMap,True,True,True,مجمع الرواد الطبي العام,21.45059,39.80828,False,100
OSM_NODE_11870738495,node,11870738495,مركز صحي موسمي رقم 18,MarkazSihhiMawsimiRaqmThamaniyat`Ashar,مركز صحي موسمي رقم 18,MarkazSihhiMawsimiRaqmThamaniyat`Ashar,MarkazSihhiMawsimiRaqmThamaniyat'Ashar,seasonal_health_center,,centre,,,21.348293899999998,39.9762993,OpenStreetMap,True,True,True,markazsihhimawsimiraqmthamaniyatashar,21.34829,39.9763,False,80
OSM_NODE_11870738579,node,11870738579,مركز صحي موسمي رقم 11,MarkazSihhiMawsimiRaqmAhad`Ashar,مركز صحي موسمي رقم 11,MarkazSihhiMawsimiRaqmAhad`Ashar,MarkazSihhiMawsimiRaqmAhad'Ashar,seasonal_health_center,,centre,,,21.343777999999997,39.972725,OpenStreetMap,True,True,True,markazsihhimawsimiraqmahadashar,21.34378,39.97272,False,80
OSM_NODE_11870950901,node,11870950901,الشرائع العليا,AshShara'i`al`Ulya,الشرائع العليا,AshShara'i`al`Ulya,AshShara'i'al'Ulya,hospital,hospital,hospital,,,21.515059099999995,40.063808900000005,OpenStreetMap,True,True,True,ashsharaialulya,21.51506,40.06381,False,80
OSM_NODE_11870951224,node,11870951224,مركز صحي موسمي رقم 3,MarkazSihhiMawsimiRaqmThalathah,مركز صحي موسمي رقم 3,MarkazSihhiMawsimiRaqmThalathah,MarkazSihhiMawsimiRaqmThalathah,seasonal_health_center,,centre,,,21.3411317,39.9716879,OpenStreetMap,True,True,True,markazsihhimawsimiraqmthalathah,21.34113,39.97169,False,80
OSM_NODE_11871306606,node,11871306606,مركز صحي موسمي رقم 16,MarkazSihhiMawsimiRaqmSittat`Ashar,مركز صحي موسمي رقم 16,MarkazSihhiMawsimiRaqmSittat`Ashar,MarkazSihhiMawsimiRaqmSittat'Ashar,seasonal_health_center,,centre,,,21.345993,39.978065,OpenStreetMap,True,True,True,markazsihhimawsimiraqmsittatashar,21.34599,39.97806,False,80
OSM_NODE_11871652226,node,11871652226,مركز صحي موسمي رقم 10,MarkazSihhiMawsimiRaqm`Asharah,مركز صحي موسمي رقم 10,MarkazSihhiMawsimiRaqm`Asharah,MarkazSihhiMawsimiRaqm'Asharah,seasonal_health_center,,centre,,,21.344530000000002,39.969909,OpenStreetMap,True,True,True,markazsihhimawsimiraqmasharah,21.34453,39.96991,False,80
OSM_NODE_12054556416,node,12054556416,المستشفى السعودي الالماني,,,المستشفى السعودي الالماني,المستشفى السعودي الالماني,hospital,hospital,hospital,yes,24352,21.2824093,39.8244284,OpenStreetMap,True,True,True,المستشفى السعودي الالماني,21.28241,39.82443,False,100
OSM_WAY_131655352,way,131655352,Arafat General hospital,Arafat General hospital,,Arafat General hospital,Arafat General hospital,hospital,hospital,,,,21.35006841829966,39.9836377010321,OpenStreetMap,True,True,True,arafat general hospital,21.35007,39.98364,False,80
