hub_id,hajj_zone,drones,facility_label,label_source,category,packages_per_hour,preparedness_only
HUB_006,Mina,3,Armed Forces Hospital,osm_name_en,hospital,5,False
HUB_015,Haram_Makkah,3,Al Haram Emergency Hospital,osm_name_en,hospital,5,False
HUB_040,Mina,3,Mina Al-Share’a Al-Jadeed Hospital,osm_name_en,hospital,5,False
HUB_041,Mina,3,Saudi Red Crescent Authority Centre - Mina,author_override,ambulance_station,5,False
HUB_042,Mina,3,Mina Al-Wadi Hospital,osm_name_en,hospital,5,False
HUB_014,Greater_Makkah,2,Al-Abeer Dispensary,author_override,hospital,3,False
HUB_043,Haram_Makkah,1,Hospital Shifa,osm_name_en,hospital,1,False
HUB_049,Haram_Makkah,1,SHIFA AL BARAKA MEDICAL CENTER,osm_name_en,hospital,1,False
HUB_035,Arafat,1,Seasonal Health Centre No. 16,author_override,seasonal_health_center,0,True
HUB_046,Arafat,1,Eastern Arafat Hospital,osm_name_en,hospital,0,True
