redundancy,p,termination,minimum_drones,mean_response_min,max_response_min
,5,infeasible,,,
,6,infeasible,,,
1.0,7,optimal,19.0,1.837397700234947,3.0289292802718086
1.0,8,optimal,19.0,1.7808478251576367,3.172634316246238
1.0,9,optimal,20.0,1.769958358377099,3.172634316246238
1.0,10,optimal,20.0,1.778545571885069,3.172634316246238
1.0,11,optimal,21.0,1.7698343822070612,3.172634316246238
1.0,12,optimal,21.0,1.7986988453816115,3.172634316246238
,5,infeasible,,,
,6,infeasible,,,
,7,infeasible,,,
,8,infeasible,,,
,9,infeasible,,,
2.0,10,optimal,21.0,2.081826673989757,4.858365072762556
2.0,11,optimal,22.0,1.93462478909368,4.858365072762556
2.0,12,optimal,22.0,1.891186050432491,3.782790133542501
