scenario_id,scenario_family,packages_per_hour,safe_roundtrip_km,response_target_min,turnaround_min,redundancy,minimum_hubs,minimum_drones,mean_response_min,max_response_min,mean_oneway_distance_km,max_oneway_distance_km
S01,demand,15,20.0,5.0,30.0,2,8,13,2.1226720562649053,3.782790133542501,1.010404850638415,2.5045111201882504
S02,demand,30,20.0,5.0,30.0,2,10,21,2.081826673989757,4.858365072762556,0.9736440065907814,3.472528565486301
S03,demand,45,20.0,5.0,30.0,2,11,29,2.470197696130071,4.83130066051902,1.323177926517064,3.448170594467118
S04,battery,30,10.0,5.0,30.0,2,10,21,2.081826673989757,4.858365072762556,0.9736440065907814,3.472528565486301
S05,battery,30,15.0,5.0,30.0,2,10,21,2.081826673989757,4.858365072762556,0.9736440065907814,3.472528565486301
S06,response,30,20.0,7.0,30.0,2,8,20,2.0320694042358256,6.571023990752002,0.928862463812243,5.013921591676802
S07,response,30,20.0,10.0,30.0,2,7,19,2.493304479930316,7.224773357625605,1.3439740319372846,5.602296021863045
S08,turnaround,30,20.0,5.0,15.0,2,8,12,2.162051481793501,4.858365072762556,1.0458463336141517,3.472528565486301
S09,turnaround,30,20.0,5.0,45.0,2,12,32,2.5871611976606395,4.94933317173044,1.4284450778945754,3.554399854557396
S10,redundancy,30,20.0,5.0,30.0,1,7,19,1.837397700234947,3.0289292802718086,0.7536579302114528,1.826036352244628
