Map label,hub_id,hub_name,hajj_zone,drones
1,HUB_006,Armed Forces Hospital,Mina,3
2,HUB_014,مستوصف العبير,Greater_Makkah,2
3,HUB_015,Al Haram Emergency Hospital,Haram_Makkah,3
4,HUB_035,MarkazSihhiMawsimiRaqmSittat'Ashar,Arafat,1
5,HUB_040,Mina Al-Share’a Al-Jadeed Hospital,Mina,3
6,HUB_041,مركز هيئة الهلال الأحمر - منى,Mina,3
7,HUB_042,Mina Al-Wadi Hospital,Mina,3
8,HUB_043,Hospital Shifa,Haram_Makkah,1
9,HUB_046,Eastern Arafat Hospital,Arafat,1
10,HUB_049,SHIFA AL BARAKA MEDICAL CENTER,Haram_Makkah,1
